EventID,SampleID,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,MaterialSampleID,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Fluorescence,CTD_Depth,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Ammonium,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD175_2019-06,OSD175_2019-06_NPL022_1,OSD175,2019-06-25T10:00:00Z,51.33,2.50,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD175_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422952,PRJEB40763,PRJEB40764,PRJEB40762
OSD176_2019-06,OSD176_2019-06_NPL022_1,OSD176,2019-06-25T10:56:00Z,51.28,2.61,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD176_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422951,PRJEB40763,PRJEB40764,PRJEB40762
OSD177_2019-06,OSD177_2019-06_NPL022_1,OSD177,2019-06-25T12:37:00Z,51.18,2.70,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD177_2019-06_1_NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3.00,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422950,PRJEB40763,PRJEB40764,PRJEB40762
OSD210_2019-06,OSD210_2019-06_NPL022_1,OSD210,2019-06-21T05:40:00Z,43.11,3.08,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,none,0,NPL022,OSD210_2019-06_1_NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,2.60,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,22.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422949,PRJEB40763,PRJEB40764,PRJEB40762
OSD211_2019-06,OSD211_2019-06_NPL022_1,OSD211,2019-06-21T06:50:00Z,42.97,3.00,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,none,0,NPL022,OSD211_2019-06_1_NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.33,45,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,21.90,36.00,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422948,PRJEB40763,PRJEB40764,PRJEB40762
OSD219_2019-06,OSD219_2019-06_NPL022_1,OSD219,2019-06-21T11:44:00Z,53.21,-9.27,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,RV Celtic Voyager,1,NPL022,OSD219_2019-06_1_NPL022,OSD-Jun-2019,not provided,CTD,not provided,not provided,2.00,43,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-20 to -71,14.70,33.83,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422947,PRJEB40763,,PRJEB40762
OSD223_2019-06,OSD223_2019-06_NPL022_1,OSD223,2019-06-21T09:00:00Z,54.48,18.57,marginal sea biome [ENVO:01000046], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,not provided,0,NPL022,OSD223_2019-06_1_NPL022,OSD-Jun-2019,Prokaryotes,10% acid washed buckets,vacuum pump (mechanical),not provided,0.50,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,20.80,6.30,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422946,PRJEB40763,PRJEB40764,PRJEB40762
OSD224_2019-06,OSD224_2019-06_NPL022_1,OSD224,2019-06-21 11:30:00,53.00,4.79,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26877,not provided,1,NPL022,OSD224_2019-06_1_NPL022,OSD-Jun-2019,determining microbial composition at interface of the North Sea and Wadden Sea,Niskin bottle,"1m depth water collected from the NIOZ pier ""Jetty""",not provided,1.80,20,Sterivex,sterivex-filtered seawater,no prefiltration,0.22,no treatment,-80,16.70,30.85,,,,,,,,,8.3,,,,,,,,,,,,,,,,SAMEA7422945,PRJEB40763,PRJEB40764,PRJEB40762
OSD227_2019-06,OSD227_2019-06_NPL022_1,OSD227,2019-06-27 12:30:00,48.67,-3.89,estuarine biome [ENVO:01000020], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,1,NPL022,OSD227_2019-06_1_NPL022,OSD-Jun-2019,not provided,hand pump,hand pumping,"Northeast wind (53.2o), 45.6km/h (max 54km/h), cloudy",1.90,35,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,17.13,34.98,,2.41,1.25,,,,,,,,1100 photons/m2/s,,,,,,,,,,,,,,SAMEA7422944,PRJEB40763,PRJEB40764,PRJEB40762
OSD232_2019-06,OSD232_2019-06_NPL022_1,OSD232,2019-06-21T09:00:00Z,40.80,14.34,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD232_2019-06_1_NPL022,OSD-Jun-2019,OSD_232_Prok,sampling water from the beach,tank,green water mass,0.95,45,Tank,sea water,not provided,0.22,no treatment,-20,26.28,36.57,56.5 mS/cm,,0,,,,,,8.07,8.44 mg/l,,,,,,,,,,,,,,,SAMEA7422943,PRJEB40763,,PRJEB40762
OSD237_2019-06,OSD237_2019-06_NPL022_1,OSD237,2019-06-21T12:00:00Z,43.34,-3.01,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD237_2019-06_1_NPL022,OSD-Jun-2019,identification of microbial diversity in GETXO Marina and Bilbao Harbour,5l bucket (1m),by hand from floating jetty or pontoon,marina under tidal influences Bilbao river and salinity can drop to 3 psu at low tide,3.00,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,18.80,34.60,46.2181 mS/cm,,4,,,,,,8.38,9 mg/l,,0.58 FNU,,,,,,,,,,,,,SAMEA7422942,PRJEB40763,PRJEB40764,PRJEB40762
OSD238_2019-06,OSD238_2019-06_NPL022_1,OSD238,2019-06-21T09:35:00Z,43.42,-2.96,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD238_2019-06_1_NPL022,OSD-Jun-2019,identification of microbial diversity of Plentzia Bay,5l bucket (1m),by hand through the deck,not provided,5.00,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,17.40,36.40,46.894 mS/cm,,8.5 - 9.7,,,,,,8.18,8.09 mg/l,,0.19 FNU,,,,,,,,,,,,,SAMEA7422941,PRJEB40763,PRJEB40764,PRJEB40762
